Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Value new (USD),Value used (USD),Launch date,Exit date
334-1,System,Vehicle,1967,Truck with Flatbed,,90,,,,,,,,,,,,98.68,,
4609-1,Jack Stone,,2001,Fire Attack Team,3,90,24.99,35,,,,,,,,,21.47,9.99,,
41697-1,Friends,Beach,2022,Turtle Protection Vehicle,2,90,8.99,9.99,13.99,9.99,5.70202E+12,,14.1,12.2,6.1,,8.4,,1/1/2022,31/12/2023
2279-1,Duplo,Basic Set,1998,Tubular Motion,2,90,,,,,,,29.6,23.8,23.8,,,,,
71306-1,Bionicle,Toa Uniters,2016,Pohatu - Uniter of Stone,,90,9.99,14.99,17.99,14.99,,6.73419E+11,18.0086,21.9964,5.4102,0.20884,39.85,31.31,1/1/2016,31/12/2016
10661-1,Bricks and More,,2013,My First LEGO Fire Station,1,90,6.99,9.99,12.99,,5.70201E+12,6.73419E+11,15.7,14.1,6.1,0.16,23.02,4.75,,
41001-1,Friends,Pets,2013,Mia's Magic Tricks,1,90,9.99,9.99,12.99,,5.70201E+12,6.73419E+11,15.7,14.1,4.5,0.13,13.38,4.1,1/1/2013,31/12/2013
5350-1,Explore,Together,2004,Large Explore Bucket,,90,14.99,,,,,,,,,,,,,
4087-1,Explore,Imagination,2002,"Basic Flexible Bucket, Large",,90,9.99,,,,,,,,,,,,,
4089-1,Explore,Imagination,2002,Orange Bucket XL,,90,9.99,,,,,,,,,,,31.55,,
2799-1,Duplo,,2000,XL Fun-time Bucket,1,90,,,,,,,,,,,,13.29,,
6682-1,Town,Construction,1985,Cement Mixer,1,90,,,,,,,,,,,142.15,13.2,,
4011-1,Boats,,1991,Cabin Cruiser,2,90,,19.75,,,,,,,,,130.9,18.11,,
6052-1,Duplo,,2011,My First LEGO DUPLO Vehicle Set,2,90,40.99,,,,5.70201E+12,6.73419E+11,41,19.1,27.71,1.49,46.51,,1/6/2011,31/12/2012
